Id: , Layer: Text, Object Type: MText
Id: , Layer: Deck, Object Type: Line
Id: , Layer: Stairs, Object Type: Line
Id: , Layer: Cabinetry, Object Type: Line
Id: , Layer: 0, Object Type: Line
Id: , Layer: Lighting, Object Type: Arc
Id: , Layer: Lighting, Object Type: Line
Id: , Layer: Walls, Object Type: LwPolyline
Id: , Layer: Cabinetry, Object Type: LwPolyline
Id: , Layer: Deck, Object Type: Insert
Id: , Layer: Lighting, Object Type: Insert
Id: , Layer: Stairs, Object Type: LwPolyline
Id: , Layer: Power, Object Type: Insert
Id: , Layer: Appliances, Object Type: Insert
Id: , Layer: DB - Windows, Object Type: Insert
Id: , Layer: Doors, Object Type: Insert
