Id: 0, Layer: Text, Object Type: MText
Id: 1, Layer: Text, Object Type: MText
Id: 3, Layer: Text, Object Type: MText
Id: 16, Layer: Text, Object Type: MText
Id: 25, Layer: Text, Object Type: MText
Id: 26, Layer: Text, Object Type: MText
Id: 27, Layer: Text, Object Type: MText
Id: 34, Layer: Text, Object Type: MText
Id: 35, Layer: Text, Object Type: MText
Id: 36, Layer: Text, Object Type: MText
Id: 38, Layer: Text, Object Type: MText
Id: 39, Layer: Text, Object Type: MText
Id: 40, Layer: Text, Object Type: MText
Id: 41, Layer: Text, Object Type: MText
Id: 42, Layer: Text, Object Type: MText
Id: 54, Layer: Text, Object Type: MText
